Source,Model,Item,Citation,Device_ID,TestTime,T_Chip,Current_mA,Center,Span,Points,Resolution,Peak_Wavelength,Mean_Wavelength,Span3dB_nm,Max_Ripple_dB,RMS_Ripple_dB,Slow_Max_Ripple,Slow_RMS_Ripple,OSA,RMS_Bandwidth,OSA_SN,SMSR,Filter_dB,Comment,Tmean,TRMS
Thorlabs,Cool white LED,LEDW7E.A01,DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,LEDW7E.A01,[6/26/2018 2:25:47 PM],25,20,599.8170166,599.8309937,2626,2,574.4190063,566.2780151,174.8600006,0,0,0,0,CCS200,65.63999939,M00433491,0,,,564.9769897,44.61600113
Wavelength,Intensity,,,,,,,,,,,,,,,,,,,,,,,,,
299.9012756,-0.000395278,,,,,,,,,,,,,,,,,,,,,,,,,
300.1139832,0.000801239,,,,,,,,,,,,,,,,,,,,,,,,,
300.3266602,-0.000117515,,,,,,,,,,,,,,,,,,,,,,,,,
300.5393677,0.001912291,,,,,,,,,,,,,,,,,,,,,,,,,
300.7520752,-5.3416E-05,,,,,,,,,,,,,,,,,,,,,,,,,
300.9648132,0.000373912,,,,,,,,,,,,,,,,,,,,,,,,,
301.1775818,0.001228567,,,,,,,,,,,,,,,,,,,,,,,,,
301.3903503,-0.000181614,,,,,,,,,,,,,,,,,,,,,,,,,
301.6031189,0.000908071,,,,,,,,,,,,,,,,,,,,,,,,,
301.815918,0.000715774,,,,,,,,,,,,,,,,,,,,,,,,,
302.028717,0.000822606,,,,,,,,,,,,,,,,,,,,,,,,,
302.2415466,0.000224347,,,,,,,,,,,,,,,,,,,,,,,,,
302.4543762,-0.000331179,,,,,,,,,,,,,,,,,,,,,,,,,
302.6672058,0.000715774,,,,,,,,,,,,,,,,,,,,,,,,,
302.8800659,-0.001036269,,,,,,,,,,,,,,,,,,,,,,,,,
303.0929565,-0.000566209,,,,,,,,,,,,,,,,,,,,,,,,,
303.3058472,0.000459377,,,,,,,,,,,,,,,,,,,,,,,,,
303.5187683,0.000630308,,,,,,,,,,,,,,,,,,,,,,,,,
303.7316589,0.000523476,,,,,,,,,,,,,,,,,,,,,,,,,
303.9446106,0.000373912,,,,,,,,,,,,,,,,,,,,,,,,,
304.1575623,0.000630308,,,,,,,,,,,,,,,,,,,,,,,,,
304.3705139,0.000395278,,,,,,,,,,,,,,,,,,,,,,,,,
304.5834961,-0.001100369,,,,,,,,,,,,,,,,,,,,,,,,,
304.7964783,0.000373912,,,,,,,,,,,,,,,,,,,,,,,,,
305.009491,-0.001442231,,,,,,,,,,,,,,,,,,,,,,,,,
305.2225037,-0.001570429,,,,,,,,,,,,,,,,,,,,,,,,,
305.4355469,0.000438011,,,,,,,,,,,,,,,,,,,,,,,,,
305.6485901,0.001228567,,,,,,,,,,,,,,,,,,,,,,,,,
305.8616333,5.3416E-05,,,,,,,,,,,,,,,,,,,,,,,,,
306.074707,0.000715774,,,,,,,,,,,,,,,,,,,,,,,,,
306.2878113,0.000245713,,,,,,,,,,,,,,,,,,,,,,,,,
306.5009155,0.001677261,,,,,,,,,,,,,,,,,,,,,,,,,
306.7140198,7.47823E-05,,,,,,,,,,,,,,,,,,,,,,,,,
306.9271545,0.000373912,,,,,,,,,,,,,,,,,,,,,,,,,
307.1402893,-0.000395278,,,,,,,,,,,,,,,,,,,,,,,,,
307.3534546,0.000587575,,,,,,,,,,,,,,,,,,,,,,,,,
307.5666199,-0.001036269,,,,,,,,,,,,,,,,,,,,,,,,,
307.7798157,0.001869558,,,,,,,,,,,,,,,,,,,,,,,,,
307.9930115,7.47823E-05,,,,,,,,,,,,,,,,,,,,,,,,,
308.2062378,0.000758506,,,,,,,,,,,,,,,,,,,,,,,,,
308.4194641,0.000908071,,,,,,,,,,,,,,,,,,,,,,,,,
308.6326904,0.001484963,,,,,,,,,,,,,,,,,,,,,,,,,
308.8459473,-0.000181614,,,,,,,,,,,,,,,,,,,,,,,,,
309.0592346,-0.00026708,,,,,,,,,,,,,,,,,,,,,,,,,
309.272522,0.000843972,,,,,,,,,,,,,,,,,,,,,,,,,
309.4858093,0.000224347,,,,,,,,,,,,,,,,,,,,,,,,,
309.6991272,0.001121735,,,,,,,,,,,,,,,,,,,,,,,,,
309.9124451,0.001420864,,,,,,,,,,,,,,,,,,,,,,,,,
310.1257935,0.000309813,,,,,,,,,,,,,,,,,,,,,,,,,
310.3391418,-0.000181614,,,,,,,,,,,,,,,,,,,,,,,,,
310.5525208,0.000630308,,,,,,,,,,,,,,,,,,,,,,,,,
310.7658997,0.000993537,,,,,,,,,,,,,,,,,,,,,,,,,
310.9793091,0.000865338,,,,,,,,,,,,,,,,,,,,,,,,,
311.1927185,0.000608942,,,,,,,,,,,,,,,,,,,,,,,,,
311.4061279,0.000160248,,,,,,,,,,,,,,,,,,,,,,,,,
311.6195679,0.001826825,,,,,,,,,,,,,,,,,,,,,,,,,
311.8330383,0.000822606,,,,,,,,,,,,,,,,,,,,,,,,,
312.0465088,0.000480744,,,,,,,,,,,,,,,,,,,,,,,,,
312.2599792,-0.001570429,,,,,,,,,,,,,,,,,,,,,,,,,
312.4734802,0.000929438,,,,,,,,,,,,,,,,,,,,,,,,,
312.6869812,-0.00073714,,,,,,,,,,,,,,,,,,,,,,,,,
312.9005127,0.000993537,,,,,,,,,,,,,,,,,,,,,,,,,
313.1140442,0.000138881,,,,,,,,,,,,,,,,,,,,,,,,,
313.3276062,-0.000416644,,,,,,,,,,,,,,,,,,,,,,,,,
